City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
153,Khuzhir,RU,2020-02-21 07:12:57,53.19,107.34,20.64,88,17,13.18,few clouds,0.0,0.0
154,Nikolskoye,RU,2020-02-21 07:12:57,59.7,30.79,36.0,86,20,8.95,few clouds,0.0,0.0
155,Yar-Sale,RU,2020-02-21 07:12:57,66.83,70.83,12.9,90,94,17.11,overcast clouds,0.0,0.0
156,Saint-Augustin,CA,2020-02-21 07:12:57,51.23,-58.65,-11.36,82,0,18.63,clear sky,0.0,0.0
157,Bokoro,TD,2020-02-21 07:12:58,12.38,17.06,69.28,21,0,10.78,clear sky,0.0,0.0
158,Tacoma,US,2020-02-21 07:12:51,47.25,-122.44,43.0,86,1,1.72,clear sky,0.0,0.0
159,Eirunepe,BR,2020-02-21 07:12:58,-6.66,-69.87,73.31,97,77,1.68,broken clouds,0.0,0.0
160,Kamenka,RU,2020-02-21 07:12:59,51.32,42.77,35.01,86,96,3.58,overcast clouds,0.0,0.0
161,Beruwala,LK,2020-02-21 07:12:59,6.48,79.98,88.12,61,36,5.64,scattered clouds,0.0,0.0
162,Saint-Georges,GD,2020-02-21 07:12:59,12.06,-61.75,77.0,78,20,13.87,few clouds,0.0,0.0
163,Hervey Bay,AU,2020-02-21 07:12:59,-25.3,152.85,86.0,58,40,16.11,scattered clouds,0.0,0.0
164,Libourne,FR,2020-02-21 07:13:00,44.92,-0.25,46.99,87,20,2.24,few clouds,0.0,0.0
165,Lugovoy,KZ,2020-02-21 07:13:00,42.95,72.76,42.22,74,72,4.54,broken clouds,0.0,0.0
166,Coquimbo,CL,2020-02-21 07:13:00,-29.95,-71.34,60.8,87,90,3.36,overcast clouds,0.0,0.0
167,Xai-Xai,MZ,2020-02-21 07:13:00,-25.05,33.64,83.12,68,75,1.36,broken clouds,0.0,0.0
168,Thompson,CA,2020-02-21 07:13:01,55.74,-97.86,23.0,73,20,9.17,few clouds,0.0,0.0
169,Grindavik,IS,2020-02-21 07:13:01,63.84,-22.43,32.0,57,100,21.92,light snow,0.0,0.44
170,Progreso,MX,2020-02-21 07:13:01,21.28,-89.67,77.0,83,40,4.7,scattered clouds,0.0,0.0
171,Arraial Do Cabo,BR,2020-02-21 07:13:01,-22.97,-42.03,76.32,92,1,13.42,clear sky,0.0,0.0
172,Shingu,JP,2020-02-21 07:13:02,33.73,135.98,55.4,58,20,9.17,few clouds,0.0,0.0
173,Ancud,CL,2020-02-21 07:13:02,-41.87,-73.82,51.8,71,0,9.17,clear sky,0.0,0.0
174,Vardo,NO,2020-02-21 07:13:02,70.37,31.11,24.8,85,75,28.86,light snow,0.0,0.0
175,Clyde River,CA,2020-02-21 07:13:03,70.47,-68.59,-11.2,76,90,10.29,light snow,0.0,0.0
176,Wattegama,LK,2020-02-21 07:13:03,6.8,81.48,89.6,66,40,16.11,scattered clouds,0.0,0.0
177,Hofn,IS,2020-02-21 07:13:03,64.25,-15.21,37.56,77,83,32.79,broken clouds,0.0,0.0
178,Lazaro Cardenas,MX,2020-02-21 07:13:03,17.96,-102.2,72.61,81,0,1.92,clear sky,0.0,0.0
179,Isangel,VU,2020-02-21 07:13:04,-19.55,169.27,86.0,70,75,13.33,broken clouds,0.0,0.0
180,Phalaborwa,ZA,2020-02-21 07:13:04,-23.94,31.14,75.69,89,99,6.87,light rain,0.31,0.0
181,Hargeysa,SO,2020-02-21 07:13:04,9.56,44.06,70.03,48,73,11.45,broken clouds,0.0,0.0
182,Aklavik,CA,2020-02-21 07:13:04,68.22,-135.01,6.8,84,90,5.82,light snow,0.0,0.0
183,Faanui,PF,2020-02-21 07:13:05,-16.48,-151.75,82.78,77,88,16.96,light rain,0.31,0.0
184,Port Hardy,CA,2020-02-21 07:13:05,50.7,-127.42,37.4,86,75,4.7,broken clouds,0.0,0.0
185,La Rioja,ES,2020-02-21 07:13:05,42.25,-2.5,35.6,93,30,9.17,scattered clouds,0.0,0.0
186,Faya,SA,2020-02-21 07:13:06,18.39,42.45,68.0,42,0,11.41,clear sky,0.0,0.0
187,Tiksi,RU,2020-02-21 07:13:06,71.69,128.87,-0.8,86,100,12.03,overcast clouds,0.0,0.0
188,Ostrovnoy,RU,2020-02-21 07:13:06,68.05,39.51,20.3,80,88,33.53,overcast clouds,0.0,0.0
189,Plettenberg Bay,ZA,2020-02-21 07:09:00,-34.05,23.37,67.33,83,21,3.58,few clouds,0.0,0.0
190,Wamba,NG,2020-02-21 07:13:07,8.93,8.6,71.56,24,0,3.38,clear sky,0.0,0.0
191,Richards Bay,ZA,2020-02-21 07:13:07,-28.78,32.04,78.87,84,19,19.66,light rain,1.44,0.0
192,Taybad,IR,2020-02-21 07:13:08,34.74,60.78,57.11,29,87,28.05,overcast clouds,0.0,0.0
193,Rudnichnyy,RU,2020-02-21 07:13:08,59.62,52.47,29.61,97,93,3.96,light snow,0.0,0.25
194,Zhetysay,KZ,2020-02-21 07:13:08,40.73,68.3,54.54,31,100,17.56,overcast clouds,0.0,0.0
195,Naruto,JP,2020-02-21 07:13:08,34.18,134.62,55.4,47,40,10.29,scattered clouds,0.0,0.0
196,Samfya,ZM,2020-02-21 07:13:09,-11.36,29.56,70.02,89,100,2.68,overcast clouds,0.0,0.0
197,Kununurra,AU,2020-02-21 07:13:09,-15.77,128.73,100.4,35,76,8.05,broken clouds,0.0,0.0
198,Emba,KZ,2020-02-21 07:13:10,48.83,58.14,20.53,86,99,7.7,overcast clouds,0.0,0.0
199,Asau,RO,2020-02-21 07:13:11,46.43,26.4,36.0,81,20,2.06,few clouds,0.0,0.0
200,Shahreza,IR,2020-02-21 07:13:11,32.03,51.88,40.87,59,0,1.7,clear sky,0.0,0.0
201,Kondinskoye,RU,2020-02-21 07:13:11,59.65,67.41,27.01,95,89,7.87,overcast clouds,0.0,0.0
202,Muroto,JP,2020-02-21 07:13:12,33.28,134.15,57.2,50,20,6.93,few clouds,0.0,0.0
203,Klaksvik,FO,2020-02-21 07:13:12,62.23,-6.59,41.0,86,83,27.51,light rain,0.0,0.0
204,Mpongwe,ZM,2020-02-21 07:13:13,-13.51,28.16,69.87,90,95,1.79,overcast clouds,0.0,0.0
205,Norrtalje,SE,2020-02-21 07:13:13,59.76,18.7,43.0,80,75,19.46,broken clouds,0.0,0.0
206,Namatanai,PG,2020-02-21 07:13:13,-3.67,152.43,84.18,74,0,13.91,light rain,0.38,0.0
207,Jambi,ID,2020-02-21 07:13:14,-1.6,103.62,83.19,82,65,5.82,moderate rain,3.44,0.0
208,Nizhnyaya Omka,RU,2020-02-21 07:13:14,55.43,74.94,24.06,95,100,7.63,overcast clouds,0.0,0.0
209,Tilichiki,RU,2020-02-21 07:13:14,60.47,166.1,-10.82,81,96,5.93,overcast clouds,0.0,0.0
210,Gaogou,CN,2020-02-21 07:13:15,34.02,119.19,54.3,62,97,10.27,overcast clouds,0.0,0.0
211,Srednekolymsk,RU,2020-02-21 07:13:15,67.45,153.68,-15.16,97,93,3.8,overcast clouds,0.0,0.0
212,Madang,PG,2020-02-21 07:13:15,-5.22,145.8,83.17,78,20,18.68,few clouds,0.0,0.0
213,Manaure,CO,2020-02-21 07:13:15,11.78,-72.44,77.07,84,99,13.6,overcast clouds,0.0,0.0
214,Bandar-E Lengeh,IR,2020-02-21 07:13:16,26.56,54.88,73.4,64,0,9.17,clear sky,0.0,0.0
215,Eyl,SO,2020-02-21 07:13:16,7.98,49.82,78.51,75,74,16.17,broken clouds,0.0,0.0
216,Pevek,RU,2020-02-21 07:13:16,69.7,170.31,-9.87,99,100,8.9,light snow,0.0,0.25
217,Santa Cruz,BO,2020-02-21 07:10:42,-17.8,-63.17,77.0,88,75,13.87,broken clouds,0.0,0.0
218,Bethel,US,2020-02-21 07:13:17,41.37,-73.41,24.01,48,1,8.05,clear sky,0.0,0.0
219,Southampton,GB,2020-02-21 07:13:17,50.9,-1.4,45.0,81,45,4.7,scattered clouds,0.0,0.0
220,Samarai,PG,2020-02-21 07:13:18,-10.62,150.67,83.25,81,98,1.5,moderate rain,4.44,0.0
221,Kenai,US,2020-02-21 07:13:18,60.55,-151.26,27.0,92,75,2.82,mist,0.0,0.0
222,Ribeira Grande,PT,2020-02-21 07:13:18,38.52,-28.7,52.12,77,56,9.48,broken clouds,0.0,0.0
223,San Juan,AR,2020-02-21 07:13:18,-31.54,-68.54,68.5,21,0,13.62,clear sky,0.0,0.0
224,Abay,KZ,2020-02-21 07:13:19,49.63,72.85,32.0,77,100,4.47,overcast clouds,0.0,0.0
225,Jacareacanga,BR,2020-02-21 07:13:19,-6.22,-57.75,71.96,97,100,1.92,overcast clouds,0.0,0.0
226,Ust-Ishim,RU,2020-02-21 07:13:19,57.69,71.17,31.5,95,99,7.09,overcast clouds,0.0,0.0
227,Kapit,MY,2020-02-21 07:13:19,2.02,112.93,91.17,49,92,3.51,overcast clouds,0.0,0.0
228,Khani,GE,2020-02-21 07:13:20,41.96,42.96,44.6,81,40,4.7,scattered clouds,0.0,0.0
229,Port Elizabeth,ZA,2020-02-21 07:10:03,-33.92,25.57,69.8,83,75,5.82,broken clouds,0.0,0.0
230,Zurrieq,MT,2020-02-21 07:13:20,35.83,14.47,55.99,76,20,6.93,few clouds,0.0,0.0
231,Souillac,MU,2020-02-21 07:13:21,-20.52,57.52,84.2,58,20,11.41,few clouds,0.0,0.0
232,Yubari,JP,2020-02-21 07:13:21,43.04,141.96,35.01,59,75,8.05,broken clouds,0.0,0.0
