City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Bredasdorp,ZA,2020-02-19 05:57:16,-34.53,20.04,69.8,77,92,10.29
173,Thompson,CA,2020-02-19 05:57:17,55.74,-97.86,-11.2,69,5,10.29
174,Rassvet,RU,2020-02-19 05:57:17,46.83,40.75,38.77,65,0,3.71
175,Mehamn,NO,2020-02-19 05:55:02,71.04,27.85,23.0,79,75,18.34
176,Dwarka,IN,2020-02-19 05:57:17,22.24,68.97,75.45,64,62,5.75
177,Waingapu,ID,2020-02-19 05:55:18,-9.66,120.26,84.42,77,100,18.19
178,Saint-Pierre,RE,2020-02-19 05:57:18,-21.34,55.48,84.2,69,0,24.16
179,Taksimo,RU,2020-02-19 05:57:18,56.34,114.88,6.51,82,13,2.84
180,Saint George,US,2020-02-19 05:57:18,37.1,-113.58,44.6,58,1,4.7
181,Quelimane,MZ,2020-02-19 05:57:19,-17.88,36.89,80.6,88,40,6.93
182,Kulhudhuffushi,MV,2020-02-19 05:57:19,6.62,73.07,81.95,69,13,12.97
183,Bossangoa,CF,2020-02-19 05:57:19,6.49,17.46,69.24,25,83,0.51
184,Farafangana,MG,2020-02-19 05:57:20,-22.82,47.83,79.86,72,100,12.15
185,Chegutu,ZW,2020-02-19 05:57:20,-18.13,30.14,70.39,79,23,5.06
186,Magadi,IN,2020-02-19 05:57:20,12.97,77.23,81.0,54,20,5.82
187,Boa Viagem,BR,2020-02-19 05:57:21,-5.13,-39.73,72.93,94,91,3.09
188,Myaundzha,RU,2020-02-19 05:57:21,63.05,147.19,-9.67,89,100,3.33
189,Nanortalik,GL,2020-02-19 05:57:21,60.14,-45.24,21.16,59,67,42.81
190,Kuytun,RU,2020-02-19 05:57:22,54.34,101.5,16.5,91,100,2.01
191,Port Augusta,AU,2020-02-19 05:57:23,-32.5,137.77,75.99,49,0,19.46
192,Bonthe,SL,2020-02-19 05:57:23,7.53,-12.51,75.85,92,9,5.39
193,The Valley,AI,2020-02-19 05:52:33,18.22,-63.06,77.0,73,40,10.29
194,Tura,IN,2020-02-19 05:57:23,25.52,90.22,84.47,24,0,4.54
195,Kavaratti,IN,2020-02-19 05:57:24,10.57,72.64,84.2,74,20,4.7
196,Challakere,IN,2020-02-19 05:57:24,14.32,76.65,84.16,28,41,9.62
197,Port Elizabeth,ZA,2020-02-19 05:57:24,-33.92,25.57,66.2,93,43,10.29
198,Caledon,ZA,2020-02-19 05:57:25,-34.23,19.43,70.0,77,1,6.11
199,Umm Kaddadah,SD,2020-02-19 05:57:25,13.6,26.69,66.83,27,0,16.82
200,San Joaquin,VE,2020-02-19 05:57:25,10.26,-67.79,75.83,91,57,14.25
201,Dancheng,CN,2020-02-19 05:57:25,33.63,115.18,56.95,37,100,7.11
202,Kavieng,PG,2020-02-19 05:57:26,-2.57,150.8,83.73,75,61,10.25
203,Souillac,MU,2020-02-19 05:57:26,-20.52,57.52,82.99,65,20,9.17
204,Bud,US,2020-02-19 05:53:27,39.45,-86.18,30.99,79,1,3.36
205,Ketchikan,US,2020-02-19 05:55:53,55.34,-131.65,39.2,80,90,17.22
206,Baiyin,CN,2020-02-19 05:53:29,36.56,104.21,51.01,16,8,8.95
207,Pocone,BR,2020-02-19 05:57:27,-16.26,-56.62,75.92,91,79,2.17
208,Guerrero Negro,MX,2020-02-19 05:57:27,27.98,-114.06,60.3,83,100,11.97
209,Hambantota,LK,2020-02-19 05:57:27,6.12,81.12,86.0,62,20,6.93
210,Tiznit,MA,2020-02-19 05:57:28,29.58,-9.5,58.12,29,65,2.71
211,Korla,CN,2020-02-19 05:57:28,41.76,86.15,23.94,30,83,3.58
212,Porto Novo,BJ,2020-02-19 05:52:57,6.5,2.6,82.4,88,40,5.19
213,Husavik,IS,2020-02-19 05:55:29,66.04,-17.34,24.8,92,73,5.82
214,Dossor,KZ,2020-02-19 05:57:29,47.53,52.98,36.41,43,0,19.37
215,Fairbanks,US,2020-02-19 05:54:52,64.84,-147.72,21.99,85,90,2.82
216,Dalaba,GN,2020-02-19 05:57:29,10.7,-12.25,60.03,45,0,1.68
217,Tromso,NO,2020-02-19 05:57:29,69.65,18.96,21.2,73,20,11.41
218,Chapleau,CA,2020-02-19 05:57:30,47.84,-83.4,3.2,95,100,6.82
219,Talaya,RU,2020-02-19 05:57:30,61.38,152.75,-17.59,98,100,1.54
220,Namibe,AO,2020-02-19 05:57:30,-15.2,12.15,74.7,69,97,8.37
221,Waspan,NI,2020-02-19 05:57:30,14.74,-83.97,72.64,96,17,3.2
222,Geraldton,AU,2020-02-19 05:57:31,-28.77,114.6,91.4,33,100,18.34
223,Yagodnoye,RU,2020-02-19 05:57:31,62.55,149.67,-6.5,97,100,2.13
224,Sao Filipe,CV,2020-02-19 05:57:31,14.9,-24.5,77.65,44,96,17.18
225,Honiara,SB,2020-02-19 05:57:31,-9.43,159.95,91.4,63,75,13.87
226,Saint Anthony,US,2020-02-19 05:57:32,45.02,-93.22,8.6,55,1,11.41
227,Dunedin,NZ,2020-02-19 05:56:45,-45.87,170.5,59.0,77,96,3.0
228,Kapoeta,SS,2020-02-19 05:57:32,4.77,33.59,90.01,37,22,20.42
229,Balkanabat,TM,2020-02-19 05:57:33,39.51,54.37,43.45,42,36,22.01
230,Maragogi,BR,2020-02-19 05:57:33,-9.01,-35.22,80.96,74,41,12.33
231,Matamoros,MX,2020-02-19 05:57:33,25.53,-103.25,69.01,37,36,17.45
232,Volosovo,RU,2020-02-19 05:57:33,59.43,29.48,39.2,80,90,8.95
233,Zambezi,ZM,2020-02-19 05:56:00,-13.54,23.1,68.74,93,96,2.19
234,Mount Gambier,AU,2020-02-19 05:54:39,-37.83,140.77,62.6,59,90,19.46
235,Moron,AR,2020-02-19 05:57:34,-34.65,-58.62,69.8,93,0,3.36
236,Lebu,CL,2020-02-19 05:53:57,-37.62,-73.65,54.63,87,0,6.49
237,Impfondo,CG,2020-02-19 05:57:34,1.64,18.07,72.25,79,100,0.6
238,Sandviken,SE,2020-02-19 05:57:35,60.62,16.77,33.01,81,0,4.0
239,Touros,BR,2020-02-19 05:57:35,-5.2,-35.46,77.0,94,40,3.36
240,Beringovskiy,RU,2020-02-19 05:57:35,63.05,179.32,-10.79,82,90,15.55
241,San Cristobal,VE,2020-02-19 05:57:35,7.77,-72.22,82.4,58,20,4.7
242,Goderich,CA,2020-02-19 05:57:36,43.75,-81.72,30.99,71,97,3.0
243,San Rafael,AR,2020-02-19 05:57:36,-34.62,-68.33,67.75,36,0,7.72
244,Cockburn Town,TC,2020-02-19 05:57:36,21.46,-71.14,78.01,80,3,26.04
245,Aksay,RU,2020-02-19 05:57:36,47.26,39.87,19.99,92,20,4.47
246,Maniitsoq,GL,2020-02-19 05:57:37,65.42,-52.9,8.8,88,100,12.55
247,Mirnyy,RU,2020-02-19 05:57:28,62.54,113.96,6.8,77,21,8.95
248,Salinopolis,BR,2020-02-19 05:57:37,-0.61,-47.36,80.51,82,100,19.26
249,Severo-Kurilsk,RU,2020-02-19 05:57:38,50.68,156.12,17.46,87,100,7.14
250,Curuguaty,PY,2020-02-19 05:57:38,-24.47,-55.69,73.29,97,92,1.21
251,Roma,US,2020-02-19 05:57:38,43.21,-75.46,37.4,64,90,13.87
252,Norman Wells,CA,2020-02-19 05:57:38,65.28,-126.83,-2.2,70,40,8.05
253,Rong Kwang,TH,2020-02-19 05:57:38,18.34,100.32,89.6,33,0,2.24
254,Vila Franca Do Campo,PT,2020-02-19 05:57:39,37.72,-25.43,57.2,100,75,10.29
255,Wanning,CN,2020-02-19 05:53:23,18.8,110.4,69.76,84,100,10.38
256,San Carlos,VE,2020-02-19 05:57:39,9.66,-68.58,75.09,79,47,1.99
257,Fontenay-Le-Comte,FR,2020-02-19 05:57:39,46.58,-1.0,50.0,93,75,11.41
258,Asau,RO,2020-02-19 05:57:40,46.43,26.4,43.0,81,90,2.24
259,Bagotville,AU,2020-02-19 05:57:40,-28.98,153.42,96.01,62,0,16.11
260,Kurunegala,LK,2020-02-19 05:57:40,7.49,80.36,87.8,52,74,8.05
261,Mulege,MX,2020-02-19 05:57:41,26.88,-111.98,64.74,57,100,1.95
262,Ponta Delgada,PT,2020-02-19 05:55:55,37.73,-25.67,57.2,100,75,10.29
263,Araouane,ML,2020-02-19 05:57:41,18.9,-3.53,67.59,17,0,10.09
264,Abha,SA,2020-02-19 05:54:56,18.22,42.51,68.0,39,15,11.41
265,Fort Nelson,CA,2020-02-19 05:53:37,58.81,-122.7,3.2,84,5,2.24
266,Chanute,US,2020-02-19 05:57:42,37.68,-95.46,33.8,79,1,4.7
267,High Level,CA,2020-02-19 05:54:16,58.52,-117.14,-11.2,83,40,3.89
268,Calabar,NG,2020-02-19 05:57:42,4.95,8.32,76.62,91,71,2.21
269,Gayny,RU,2020-02-19 05:57:42,60.31,54.32,33.22,97,96,10.65
270,Olathe,US,2020-02-19 05:56:21,38.88,-94.82,33.8,86,1,4.97
271,Acarau,BR,2020-02-19 05:57:43,-2.89,-40.12,75.07,93,100,2.44
272,San Patricio,MX,2020-02-19 05:57:43,19.22,-104.7,74.93,76,0,2.71
273,Mahibadhoo,MV,2020-02-19 05:57:43,3.78,72.97,81.63,75,31,19.33
274,Afua,BR,2020-02-19 05:57:43,-0.16,-50.39,76.66,87,100,10.02
275,Komsomolskiy,UZ,2020-02-19 05:57:44,40.43,71.72,35.6,59,75,2.24
276,Mao,ES,2020-02-19 05:57:44,39.89,4.27,46.4,87,20,3.36
277,Iralaya,HN,2020-02-19 05:57:44,15.0,-83.23,81.37,76,15,19.22
278,Srednekolymsk,RU,2020-02-19 05:57:44,67.45,153.68,-16.11,100,84,4.09
279,Hasaki,JP,2020-02-19 05:57:44,35.73,140.83,55.0,40,75,2.24
280,Kinsale,IE,2020-02-19 05:57:44,51.71,-8.53,44.01,93,75,6.93
281,Kutum,SD,2020-02-19 05:57:45,14.2,24.67,63.36,29,31,4.79
282,Xam Nua,LA,2020-02-19 05:57:45,20.42,104.04,74.75,41,9,2.93
283,Nouakchott,MR,2020-02-19 05:57:45,18.09,-15.98,68.0,16,60,6.93
284,Port-Gentil,GA,2020-02-19 05:57:46,-0.72,8.78,80.6,94,40,5.46
285,Plettenberg Bay,ZA,2020-02-19 05:57:46,-34.05,23.37,71.91,72,0,2.48
286,Ambulu,ID,2020-02-19 05:57:46,-8.35,113.61,83.82,70,100,10.31
287,Faya,SA,2020-02-19 05:57:47,18.39,42.45,68.0,39,0,11.41
288,Teya,RU,2020-02-19 05:57:47,60.38,92.63,15.44,85,95,11.9
289,Druskininkai,LT,2020-02-19 05:57:48,54.02,23.97,37.4,74,89,8.95
290,Ancud,CL,2020-02-19 05:54:26,-41.87,-73.82,46.4,87,4,5.82
291,Neiafu,TO,2020-02-19 05:57:48,-18.65,-173.98,82.4,69,20,4.7
292,Deputatskiy,RU,2020-02-19 05:57:49,69.3,139.9,-12.95,93,85,3.69
293,Narsaq,GL,2020-02-19 05:57:49,60.92,-46.05,10.4,55,70,4.7
294,Fare,PF,2020-02-19 05:57:49,-16.7,-151.02,82.63,75,100,13.4
295,Chifeng,CN,2020-02-19 05:57:50,42.27,118.96,28.67,51,0,5.53
296,Lagoa,PT,2020-02-19 05:57:50,39.05,-27.98,61.21,80,56,16.51
297,Celestun,MX,2020-02-19 05:57:50,20.87,-90.4,78.53,76,1,17.49
298,Margate,GB,2020-02-19 05:57:51,51.38,1.39,39.0,73,0,10.29
299,Tahe,CN,2020-02-19 05:57:51,52.33,124.73,11.84,71,28,12.53
300,Yining,CN,2020-02-19 05:57:51,29.04,114.56,60.87,42,69,3.0
301,Huilong,CN,2020-02-19 05:57:51,31.81,121.66,55.0,46,50,1.01
302,Marfino,RU,2020-02-19 05:57:52,55.7,37.38,39.0,93,75,11.18
303,Pali,IN,2020-02-19 05:57:52,25.77,73.33,84.33,10,64,8.66
304,Yaan,NG,2020-02-19 05:57:52,7.38,8.57,73.78,34,58,5.41
